X-coordinate,Y-coordinate,Heading,Current segment
44.5730094909668,14.795228958129885,-1.4174271821975708,56.0
44.42839431762695,15.280797958374023,-1.0914698839187622,56.0
44.29915618896485,15.479005813598633,-0.8852643370628357,56.0
44.13093566894531,15.642842292785645,-0.6592840552330017,56.0
43.70163345336914,15.849775314331056,-0.2423414140939712,56.0
43.43198013305664,15.89316749572754,-0.0859585478901863,56.0
43.15398406982422,15.900724411010742,0.0050986423157155,56.0
42.5438232421875,15.906606674194336,-0.0131122693419456,56.0
41.92801284790039,15.896492958068848,0.0720976665616035,56.0
41.652931213378906,15.86434268951416,0.1854923516511917,56.0
41.41634750366211,15.803510665893556,0.380671352148056,56.0
41.067501068115234,15.609903335571287,0.5266057252883911,56.0
40.7102165222168,15.40760326385498,0.5040270686149597,56.0
40.35823440551758,15.221107482910156,0.4712989628314972,56.0
40.00508499145508,15.04807186126709,0.4141274988651275,56.0
39.653446197509766,14.918065071105955,0.3077854514122009,56.0
39.653446197509766,14.918065071105955,0.2329311519861221,56.0
39.29250717163086,14.825861930847168,0.1679124236106872,56.0
39.10077667236328,14.801555633544922,0.0814268663525581,56.0
38.92445755004883,14.794401168823242,-0.0050630322657525,56.0
38.59004211425781,14.826970100402832,-0.2168329209089279,56.0
38.59004211425781,14.874549865722656,-0.2168329209089279,56.0
38.28087615966797,14.938798904418944,-0.4710437357425689,56.0
38.07924270629883,15.054903030395508,-0.5307756066322327,56.0
37.82098388671875,15.209540367126465,-0.5537827610969543,56.0
37.30988311767578,15.542753219604492,-0.583634078502655,56.0
36.77335739135742,15.898238182067873,-0.5712112188339233,56.0
36.2703742980957,16.19285011291504,-0.4622035324573517,56.0
36.02492141723633,16.297147750854492,-0.3308983743190765,56.0
35.528106689453125,16.362428665161133,0.0193960666656494,56.0
