X-coordinate,Y-coordinate,Heading,Going to ID,Current segment,Battery cell voltage
-3.513098955154419,21.809242248535156,-2.7052273750305176,0,56.0,48763
-3.505122423171997,21.81168556213379,-2.5369811058044434,0,56.0,48691
-3.500396490097046,21.811492919921875,-2.292180299758911,0,56.0,48763
-3.503342628479004,21.811298370361328,-2.1340479850769043,0,56.0,48691
-3.503591299057007,21.81102752685547,-1.9872455596923828,0,56.0,48763
-3.4958815574645996,21.81338882446289,-1.8669170141220093,0,56.0,48691
-3.497014045715332,21.81302833557129,-1.7221647500991821,0,56.0,48763
-3.4957408905029297,21.81410026550293,-1.644321084022522,0,56.0,48691
-3.4957480430603027,21.81389617919922,-1.5602794885635376,0,56.0,48763
-3.496593475341797,21.80560874938965,-1.5422639846801758,0,56.0,48691
-3.4954893589019775,21.73012351989746,-1.543723702430725,0,56.0,48551
-3.4879965782165527,21.586238861083984,-1.5514585971832275,0,56.0,48621
-3.4907474517822266,21.4594783782959,-1.5516084432601929,0,56.0,48672
-3.4903128147125244,21.25670623779297,-1.5485917329788208,0,56.0,48621
-3.487226963043213,21.127653121948242,-1.5471221208572388,0,56.0,48629
-3.484004497528076,20.999582290649414,-1.5466192960739136,0,56.0,48621
-3.472531795501709,20.794174194335938,-1.5498679876327515,0,56.0,48625
-3.4698734283447266,20.667890548706055,-1.5518791675567627,0,56.0,48621
-3.463320255279541,20.529647827148438,-1.552768588066101,0,56.0,48621
-3.4610400199890137,20.404644012451172,-1.5547410249710083,0,56.0,48621
-3.4587831497192383,20.201793670654297,-1.5523045063018799,0,56.0,48621
-3.452389717102051,20.07253646850586,-1.5524978637695312,0,52.0,48619
-3.452441453933716,19.93559455871582,-1.5533874034881592,0,52.0,48621
-3.445128917694092,19.737457275390625,-1.5554758310317993,0,52.0,48621
-3.4403164386749268,19.60184669494629,-1.5547361373901367,0,52.0,48621
-3.4420723915100098,19.47675132751465,-1.5544604063034058,0,52.0,48586
-3.4435524940490723,19.343807220458984,-1.5532615184783936,0,52.0,48621
-3.434375524520874,19.144790649414062,-1.5505542755126953,0,52.0,48621
-3.437926769256592,19.01064682006836,-1.549195647239685,0,52.0,48588
-3.4259517192840576,18.88175392150879,-1.5509459972381592,0,52.0,48621
-3.425845146179199,18.747886657714844,-1.5513664484024048,0,52.0,48612
-3.4221997261047363,18.550811767578125,-1.552565336227417,0,52.0,48621
-3.415611743927002,18.413972854614258,-1.5517531633377075,0,22.0,48619
-3.4130773544311523,18.287532806396484,-1.551554799079895,0,22.0,48621
-3.411698341369629,18.0830078125,-1.5519802570343018,0,26.0,48621
-3.4051973819732666,17.95380210876465,-1.550935983657837,0,26.0,48621
-3.403712749481201,17.81968116760254,-1.5514774322509766,0,26.0,48588
-3.4013586044311523,17.710102081298828,-1.5428529977798462,0,26.0,48691
